typeFreq	A	B	C	D	E	F
NA	a	x	jj	uu	ww	ttt
NA	a	m	jj	vv	ww	iii
NA	b	m	y	vv	xx	iii
NA	b	n	y	kk	xx	jjj
NA	c	n	z	kk	yy	jjj
NA	c	o	z	ll	yy	kkk
NA	d	o	aa	ll	zz	kkk
NA	d	p	aa	mm	zz	lll
NA	e	p	bb	mm	aaa	lll
NA	e	q	bb	nn	aaa	mmm
NA	f	q	cc	nn	bbb	mmm
NA	f	r	cc	oo	bbb	nnn
NA	g	r	dd	oo	ccc	nnn
NA	g	s	dd	pp	ccc	ooo
NA	h	s	ee	pp	ddd	ooo
NA	h	t	ee	qq	ddd	ppp
NA	i	t	ff	qq	eee	ppp
NA	i	u	ff	rr	eee	qqq
NA	j	u	gg	rr	fff	qqq
NA	j	v	gg	ss	fff	rrr
NA	k	v	hh	ss	ggg	rrr
NA	k	w	hh	tt	ggg	sss
NA	l	w	ii	tt	hhh	sss
NA	l	x	ii	uu	hhh	ttt
