typeFreq	A	B	C	D	E	F
NA	a	ppp	x	ff	mmmm	uu
NA	a	i	xxx	ff	nn	uuuu
NA	aaa	i	q	ffff	nn	vv
NA	b	iii	q	y	nnnn	vv
NA	b	j	qqq	y	gg	vvvv
NA	bbb	j	r	yyy	gg	oo
NA	c	jjj	r	z	gggg	oo
NA	c	k	rrr	z	hh	oooo
NA	ccc	k	s	zzz	hh	pp
NA	d	kkk	s	aa	hhhh	pp
NA	d	l	sss	aa	ii	pppp
NA	ddd	l	t	aaaa	ii	qq
NA	e	lll	t	bb	iiii	qq
NA	e	m	ttt	bb	jj	qqqq
NA	eee	m	u	bbbb	jj	rr
NA	f	mmm	u	cc	jjjj	rr
NA	f	n	uuu	cc	kk	rrrr
NA	fff	n	v	cccc	kk	ss
NA	g	nnn	v	dd	kkkk	ss
NA	g	o	vvv	dd	ll	ssss
NA	ggg	o	w	dddd	ll	tt
NA	h	ooo	w	ee	llll	tt
NA	h	p	www	ee	mm	tttt
NA	hhh	p	x	eeee	mm	uu
